timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-07-24,320.9500,321.9900,319.2460,320.8800,320.8800,73766597,0.0000,1.0000
2020-07-23,326.4700,327.2300,321.4800,322.9600,322.9600,75737989,0.0000,1.0000
2020-07-22,324.6200,327.2000,324.5000,326.8600,326.8600,57792915,0.0000,1.0000
2020-07-21,326.4500,326.9300,323.9400,325.0100,325.0100,57245315,0.0000,1.0000
2020-07-20,321.4300,325.1300,320.6200,324.3200,324.3200,56150230,0.0000,1.0000
2020-07-17,321.8800,322.5700,319.7400,321.7200,321.7200,64421802,0.0000,1.0000
2020-07-16,319.7900,321.2800,319.0900,320.7900,320.7900,54433414,0.0000,1.0000
2020-07-15,322.4100,323.0400,319.2700,321.8500,321.8500,86921534,0.0000,1.0000
2020-07-14,313.3000,319.7600,312.0000,318.9200,318.9200,92791839,0.0000,1.0000
2020-07-13,320.1300,322.7100,314.1300,314.8400,314.8400,102549097,0.0000,1.0000
2020-07-10,314.3100,317.8800,312.7600,317.5900,317.5900,57454436,0.0000,1.0000
2020-07-09,316.8400,317.1000,310.6800,314.3800,314.3800,83079092,0.0000,1.0000
2020-07-08,314.6100,316.3000,312.7000,316.1800,316.1800,54202602,0.0000,1.0000
2020-07-07,315.3800,317.5200,313.3700,313.7800,313.7800,82583406,0.0000,1.0000
2020-07-06,316.3700,317.6800,315.5600,317.0500,317.0500,61149258,0.0000,1.0000
2020-07-02,314.2400,315.7000,311.5100,312.2300,312.2300,69214995,0.0000,1.0000
2020-07-01,309.5700,311.8900,309.0700,310.5200,310.5200,71910372,0.0000,1.0000
2020-06-30,303.9900,310.2000,303.8200,308.3600,308.3600,112828251,0.0000,1.0000
2020-06-29,301.4100,304.6100,298.9300,304.4600,304.4600,79773260,0.0000,1.0000
2020-06-26,306.1600,306.3900,299.4200,300.0500,300.0500,127811745,0.0000,1.0000
2020-06-25,303.4700,307.6400,301.2800,307.3500,307.3500,88966079,0.0000,1.0000
2020-06-24,309.8400,310.5100,302.1000,304.0900,304.0900,132067392,0.0000,1.0000
2020-06-23,313.4801,314.5000,311.6101,312.0500,312.0500,68066900,0.0000,1.0000
2020-06-22,307.9900,311.0500,306.7500,310.6200,310.6200,74007212,0.0000,1.0000
2020-06-19,314.1700,314.3800,306.5300,308.6400,308.6400,135211345,1.3662,1.0000
2020-06-18,310.0050,312.3000,309.5100,311.7800,310.4060,80355844,0.0000,1.0000
2020-06-17,314.0700,314.3900,310.8600,311.6600,310.2865,82814592,0.0000,1.0000
2020-06-16,315.4800,315.6400,307.6700,312.9600,311.5808,137048347,0.0000,1.0000
2020-06-15,298.0200,308.2800,296.7400,307.0500,305.6968,134968796,0.0000,1.0000
2020-06-12,308.2400,309.0800,298.6000,304.2100,302.8693,194450402,0.0000,1.0000
2020-06-11,311.4600,312.1500,300.0100,300.6100,299.2852,208285190,0.0000,1.0000
2020-06-10,321.4200,322.3900,318.2209,319.0000,317.5942,93944722,0.0000,1.0000
2020-06-09,320.3000,323.2849,319.3600,320.7900,319.3763,77174695,0.0000,1.0000
2020-06-08,320.2200,323.4100,319.6300,323.2000,321.7757,73310274,0.0000,1.0000
2020-06-05,317.2300,321.2750,317.1600,319.3400,317.9327,150302461,0.0000,1.0000
2020-06-04,311.1100,313.0000,309.0800,311.3600,309.9878,75471787,0.0000,1.0000
2020-06-03,310.2400,313.2200,309.9400,312.1800,310.8042,91750087,0.0000,1.0000
2020-06-02,306.5500,308.1300,305.1000,308.0800,306.7223,73635043,0.0000,1.0000
2020-06-01,303.6200,306.2050,303.0600,305.5500,304.2034,55696013,0.0000,1.0000
2020-05-29,302.4519,304.9600,299.4700,304.3200,302.9789,119067393,0.0000,1.0000
2020-05-28,304.6500,306.8400,302.2400,302.9700,301.6348,90232213,0.0000,1.0000
2020-05-27,302.1200,303.5700,296.8700,303.5300,302.1923,104086252,0.0000,1.0000
2020-05-26,301.9300,302.1900,295.4646,299.0800,297.7620,88604807,0.0000,1.0000
2020-05-22,294.5500,295.6300,293.2200,295.4400,294.1380,63697627,0.0000,1.0000
2020-05-21,296.7900,297.6700,293.6886,294.8800,293.5805,77863922,0.0000,1.0000
2020-05-20,295.8000,297.8700,295.5700,296.9300,295.6214,85279592,0.0000,1.0000
2020-05-19,294.3500,296.2050,291.9500,291.9700,290.6833,94317356,0.0000,1.0000
2020-05-18,293.0500,296.7500,292.7000,295.0000,293.6999,119719465,0.0000,1.0000
2020-05-15,282.3700,286.3300,281.3400,286.2800,285.0184,111015834,0.0000,1.0000
2020-05-14,278.9500,285.1100,272.9900,284.9700,283.7141,121473094,0.0000,1.0000
2020-05-13,286.0600,287.1900,278.9650,281.6000,280.3590,144035915,0.0000,1.0000
2020-05-12,293.7900,294.2400,286.5200,286.6700,285.4066,94484342,0.0000,1.0000
2020-05-11,290.3400,294.0000,289.8800,292.5000,291.2109,78982891,0.0000,1.0000
2020-05-08,291.0900,292.9500,289.8600,292.4400,291.1512,76446082,0.0000,1.0000
2020-05-07,287.7500,289.7800,287.1300,287.6800,286.4122,74788296,0.0000,1.0000
2020-05-06,288.0400,288.4600,283.7800,284.2500,282.9973,72980387,0.0000,1.0000
2020-05-05,286.6400,289.2500,283.7134,286.1900,284.9288,79199214,0.0000,1.0000
2020-05-04,280.7400,283.9000,279.1300,283.5700,282.3203,80462952,0.0000,1.0000
2020-05-01,285.3100,290.6572,281.5200,282.7900,281.5437,125045778,0.0000,1.0000
2020-04-30,291.7100,293.3239,288.5900,290.4800,289.1999,121537052,0.0000,1.0000
2020-04-29,291.5300,294.8800,290.4100,293.2100,291.9178,118066585,0.0000,1.0000
2020-04-28,291.0200,291.4000,285.4000,285.7300,284.4708,104797847,0.0000,1.0000
2020-04-27,285.1200,288.2700,284.6200,287.0500,285.7850,77516422,0.0000,1.0000
2020-04-24,280.7300,283.7000,278.5000,282.9700,281.7229,85042563,0.0000,1.0000
2020-04-23,280.4900,283.9400,278.7500,279.0800,277.8501,103685412,0.0000,1.0000
2020-04-22,278.3500,281.0000,276.9100,279.1000,277.8700,92831657,0.0000,1.0000
2020-04-21,276.7300,278.0400,272.0200,273.0400,271.8367,125772551,0.0000,1.0000
2020-04-20,282.6100,286.7912,281.3500,281.5900,280.3490,99323028,0.0000,1.0000
