timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-07-24,1410.79,1464.07,1367.3,1415.56,1415.56,18430366,0,1
2020-07-23,1666.5,1687.75,1480.88,1513.27,1513.27,23156718,0,1
2020-07-22,1605.54,1625.12,1562,1590.58,1590.58,11071950,0,1
2020-07-21,1644.87,1673.86,1561,1567.58,1567.58,15192401,0,1
2020-07-20,1523.71,1649.9,1489.77,1642.47,1642.47,16400217,0,1
2020-07-17,1518.83,1537.51,1490.37,1500.41,1500.41,8908504,0,1
2020-07-16,1476.81,1530.84,1467.67,1500.82,1500.82,13477977,0,1
2020-07-15,1540.91,1548.05,1457.4,1546.88,1546.88,15304790,0,1
2020-07-14,1540.02,1586.47,1434.45,1516.39,1516.39,21552898,0,1
2020-07-13,1651.74,1792.99,1480,1495.36,1495.36,36928552,0,1
2020-07-10,1393.09,1548.21,1377.1,1546.01,1546.01,22556202,0,1
2020-07-09,1390.9,1405,1352.62,1393.81,1393.81,11152097,0,1
2020-07-08,1411.99,1417,1313.8,1365.5,1365.5,15685203,0,1
2020-07-07,1403.2,1428.88,1337.35,1389.69,1389.69,20315377,0,1
2020-07-06,1277,1376.83,1267.18,1371,1371,18847838,0,1
2020-07-02,1217.42,1225,1186,1208.8,1208.8,15386794,0,1
2020-07-01,1082.01,1134.95,1082.01,1119.54,1119.54,12789050,0,1
2020-06-30,1009.9,1087,1004.56,1079.84,1079.84,16077527,0,1
2020-06-29,966.62,1009.89,949,1009.89,1009.89,8670306,0,1
2020-06-26,989.44,993.61,955.53,960.76,960.76,7754372,0,1
2020-06-25,954.04,985.98,938.86,985.98,985.98,8661404,0,1
2020-06-24,996.39,1000,956.44,960.85,960.85,10649753,0,1
2020-06-23,997.02,1011.71,995.18,1001.66,1001.66,5965929,0,1
2020-06-22,1000.99,1008.18,990.25,994.54,994.54,6069272,0,1
2020-06-19,1013.76,1013.76,991.76,1000.57,1000.57,7979130,0,1
2020-06-18,1001.51,1018.8,994.71,1004.02,1004.02,9323189,0,1
2020-06-17,987.72,1004.9,983.89,990.56,990.56,9094963,0,1
2020-06-16,1011.45,1011.45,964.15,981.51,981.51,13333452,0,1
2020-06-15,917.03,998.38,909.38,990.75,990.75,14962489,0,1
2020-06-12,978,987.47,915.04,935.17,935.17,15886112,0,1
2020-06-11,987.61,1018.26,972.66,972.91,972.91,14809928,0,1
2020-06-10,990.87,1026.75,982.87,1025.05,1025.05,17039573,0,1
2020-06-09,942.36,954.06,924.96,941.01,941.01,10771919,0,1
2020-06-08,915.02,950,909.37,949.67,949.67,13221248,0,1
2020-06-05,878.77,886.2,866.83,885.55,885.55,7388075,0,1
2020-06-04,887.67,895.5,859.27,864.27,864.27,8666292,0,1
2020-06-03,886.58,897.69,880.28,882.51,882.51,7681213,0,1
2020-06-02,893.98,908.48,871.5,881.4,881.4,13054197,0,1
2020-06-01,854.72,898.81,854.72,897.48,897.48,13963185,0,1
2020-05-29,807.42,834.91,804.33,834.16,834.16,10591609,0,1
2020-05-28,813.42,824.35,801.82,805.99,805.99,7022208,0,1
2020-05-27,821.15,822.73,785.56,820.09,820.09,11097845,0,1
2020-05-26,831.53,831.92,816.3,818.74,818.74,7540809,0,1
2020-05-22,824.46,831.04,812.75,816.4,816.4,9732863,0,1
2020-05-21,817.75,831.76,796,827.6,827.6,11788747,0,1
2020-05-20,819.07,825.49,811.82,815.46,815.46,6942584,0,1
2020-05-19,817.01,821.94,806.25,808,808,9285581,0,1
2020-05-18,825,833.79,804.25,813.5,813.5,10973479,0,1
2020-05-15,794.31,803.89,786.82,799.03,799.03,10022216,0,1
2020-05-14,780.73,803.04,765,803.04,803.04,13083778,0,1
2020-05-13,820.35,825.97,763.3,790.36,790.36,18437553,0,1
2020-05-12,831.7,842.48,808.08,809.14,809.14,14966164,0,1
2020-05-11,789.18,824,788.51,810.48,810.48,15622885,0,1
2020-05-08,791.1,823.95,789.02,819.25,819.25,15617548,0,1
2020-05-07,779,796.4,773.13,780.22,780.22,11126085,0,1
2020-05-06,775.73,789.57,761.11,782.45,782.45,10714422,0,1
2020-05-05,788.23,798.21,763.18,768.06,768.06,16331523,0,1
2020-05-04,699.89,761.51,699.89,761.21,761.21,18336291,0,1
2020-05-01,762.21,771.37,684.37,701.31,701.31,31808779,0,1
2020-04-30,846.47,869.01,764.04,781.06,781.06,26983178,0,1
2020-04-29,791.51,802.91,783.88,799.84,799.84,12172765,0,1
2020-04-28,801.74,801.74,757.3,769.11,769.11,14532414,0,1
2020-04-27,737.74,798.94,736.83,798.92,798.92,19510736,0,1
2020-04-24,713.26,730.34,699.52,725,725,12601997,0,1
2020-04-23,728.1,733.74,703.36,705.63,705.63,12729779,0,1
2020-04-22,702.95,733.79,689.77,732.52,732.52,13337047,0,1
2020-04-21,727.77,751.78,680.27,686.72,686.72,19545384,0,1
2020-04-20,732.28,765.17,717.87,746.35,746.35,14220342,0,1
2020-04-17,764.69,771.44,747.99,753.25,753.25,11966076,0,1
2020-04-16,719.75,758.96,708.62,745.76,745.76,19184019,0,1
2020-04-15,736.46,752.06,710.47,729.53,729.53,21677612,0,1
2020-04-14,696.13,740.82,693.77,710.09,710.09,28550661,0,1
2020-04-13,588.11,651.79,580.88,650.99,650.99,21061109,0,1
2020-04-09,560.01,574.86,558.08,573.01,573.01,12668592,0,1
2020-04-08,552.23,556.98,534.06,548.7,548.7,12133596,0,1
2020-04-07,541,563.45,532.98,545.47,545.47,17151431,0,1
2020-04-06,511.26,519.85,499.14,516.24,516.24,13708845,0,1
2020-04-03,501.04,514.32,468.44,480,480,21083006,0,1
2020-04-02,484.38,493.69,447.02,454.47,454.47,15357729,0,1
2020-04-01,502.06,513.49,475.57,481.58,481.58,12474367,0,1
2020-03-31,499.76,542.54,498.28,524.48,524.48,16193775,0,1
2020-03-30,512.57,516.19,492.21,502.1,502.1,11058394,0,1
2020-03-27,500.78,524.47,494.15,514.56,514.56,13499364,0,1
2020-03-26,545.22,556.63,512.5,528.05,528.05,16589911,0,1
2020-03-25,540.22,555.2,511.54,539.15,539.15,19625219,0,1
2020-03-24,478.5,512.98,475,504.3,504.3,21562808,0,1
2020-03-23,431.12,440,411.65,434.29,434.29,15522741,0,1
2020-03-20,436.89,475,425.79,427.53,427.53,26849495,0,1
2020-03-19,372.37,451.38,359.54,427.3,427.3,28541515,0,1
2020-03-18,395,404.36,351,361.6,361.6,22460979,0,1
2020-03-17,441.05,470.87,396.06,430,430,23017414,0,1
2020-03-16,468.5,493.62,443.16,444.98,444.98,19007707,0,1
2020-03-13,596.87,606.62,502.2,546.2,546.2,21221604,0,1
2020-03-12,577.38,592.71,546.26,556.01,556.01,17394404,0,1
2020-03-11,636.71,651.05,613.26,633.91,633.91,12783524,0,1
